total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.60310845,0.753910532,0.724346491,0.423841785,0.418297713,1489,188,217,478,606
0.39689155,0.246089468,0.275653509,0.576158215,0.581702287,803,170,181,236,216
