total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.647368475,0.212883585,0.705018477,0.465925262,0.376258995,1053,45,170,584,254
0.352631525,0.787116415,0.294981523,0.534074738,0.623741005,604,7,142,323,132
