total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.64097184,0.620043271,0.732167249,0.521474548,0.385818095,1473,48,146,779,500
0.35902816,0.379956729,0.267832751,0.478525452,0.614181905,781,30,106,456,189
