total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.310886889,0.310123127,0.452021757,0.205585056,0.291740688,729,10,229,243,247
0.689113111,0.689876873,0.547978243,0.794414944,0.708259312,198,3,124,57,14
