total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.479285828,0.36789838,0.630268089,0.285748183,0.30013825,841,34,383,259,165
0.520714172,0.63210162,0.369731911,0.714251817,0.69986175,433,12,301,86,34
