total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.561311159,0.94534567,0.694137207,0.302569206,0.409517098,1395,80,249,422,644
0.438688841,0.05465433,0.305862793,0.697430794,0.590482902,663,71,202,150,240
