total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.486284723,0.902728403,0.729953814,0.243441736,0.359495706,747,18,241,288,200
0.513715277,0.097271597,0.270046186,0.756558264,0.640504294,345,14,209,91,31
