total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.426857438,0.777928535,0.617266483,0.229039609,0.444114905,1272,43,123,831,275
0.573142562,0.222071465,0.382733517,0.770960391,0.555885095,422,35,89,220,78
