total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.638696913,0.858324801,0.763757902,0.463586969,0.399430708,1446,86,243,449,668
0.361303087,0.141675199,0.236242098,0.536413031,0.600569292,785,74,212,236,263
