total,west,central,east,south,totalcarc,westcarc,centralcarc,eastcarc,southcarc
0.387396283,0.234231229,0.600283104,0.218607751,0.280767147,743,23,269,336,115
0.612603717,0.765768771,0.399716896,0.781392249,0.719232853,292,5,189,85,13
